,species,x,y,day,month,year
1,Ambystoma opacum,-74.246176,41.197764,10,6,2017
2,Ambystoma opacum,-77.037641,38.528993,13,8,2017
3,Ambystoma opacum,-77.155623,38.472785,13,8,2017
4,Ambystoma opacum,-77.039551,38.564651,13,8,2017
5,Ambystoma opacum,-86.58635,34.451159,17,1,2017
6,Ambystoma opacum,-86.862183,34.424088,16,10,2017
7,Ambystoma opacum,-86.000995,34.957712,8,11,2017
8,Ambystoma opacum,-76.872096,38.784921,13,8,2017
9,Ambystoma opacum,-76.872096,38.784921,13,8,2017
10,Ambystoma opacum,-76.872096,38.784921,13,8,2017
11,Ambystoma opacum,-78.2499,34.615,14,9,2017
12,Ambystoma opacum,-78.6235,36.3613,4,4,2017
13,Ambystoma opacum,-78.4228,35.7394,30,3,2017
14,Ambystoma opacum,-78.0446,35.9205,8,3,2017
15,Ambystoma opacum,-77.010475,37.425983,7,3,2017
16,Ambystoma opacum,-72.83413,41.57454,NA,6,2017
17,Ambystoma opacum,-78.89345,36.256903,5,12,2017
18,Ambystoma opacum,-78.885226,36.202056,29,11,2017
19,Ambystoma opacum,-89.206406,31.25498,16,12,2017
20,Ambystoma opacum,-76.013709,36.905118,9,10,2017
21,Ambystoma opacum,-78.969033,35.88773,24,12,2017
22,Ambystoma opacum,-77.089958,36.82404,24,12,2017
23,Ambystoma opacum,-82.905353,31.988614,7,12,2017
24,Ambystoma opacum,-84.120103,34.040867,25,11,2017
25,Ambystoma opacum,-84.743209,30.240073,26,11,2017
26,Ambystoma opacum,-85.139312,34.623195,23,11,2017
27,Ambystoma opacum,-79.340532,37.627175,14,10,2017
28,Ambystoma opacum,-91.752693,31.865868,12,11,2017
29,Ambystoma opacum,-78.856583,36.090192,4,11,2017
30,Ambystoma opacum,-83.378742,34.021919,29,4,2017
31,Ambystoma opacum,-72.940611,41.220531,27,10,2017
32,Ambystoma opacum,-72.661431,41.327117,9,5,2017
33,Ambystoma opacum,-72.661431,41.327117,9,5,2017
34,Ambystoma opacum,-72.661431,41.327117,9,5,2017
35,Ambystoma opacum,-80.196995,32.790583,2,11,2017
36,Ambystoma opacum,-80.201579,32.789725,2,11,2017
37,Ambystoma opacum,-76.772102,39.096792,10,10,2017
38,Ambystoma opacum,-74.224897,41.397242,22,10,2017
39,Ambystoma opacum,-83.542483,38.112497,23,10,2017
40,Ambystoma opacum,-83.543762,38.112274,23,10,2017
41,Ambystoma opacum,-83.537125,38.116074,23,10,2017
42,Ambystoma opacum,-83.757745,37.88075,17,10,2017
43,Ambystoma opacum,-83.758018,37.881332,17,10,2017
44,Ambystoma opacum,-74.031943,41.8091,9,10,2017
45,Ambystoma opacum,-88.924713,37.358697,9,10,2017
46,Ambystoma opacum,-77.106006,38.750345,29,9,2017
47,Ambystoma opacum,-77.098453,38.75754,29,9,2017
48,Ambystoma opacum,-88.91362,37.345597,11,10,2017
49,Ambystoma opacum,-88.920228,37.352928,11,10,2017
50,Ambystoma opacum,-88.894524,37.485493,11,10,2017
51,Ambystoma opacum,-84.093073,33.954045,8,10,2017
52,Ambystoma opacum,-78.997063,37.984172,7,10,2017
53,Ambystoma opacum,-72.836258,41.686977,2,10,2017
54,Ambystoma opacum,-77.110397,38.735487,29,9,2017
55,Ambystoma opacum,-86.833568,33.342839,30,9,2017
56,Ambystoma opacum,-74.041471,41.922909,29,9,2017
57,Ambystoma opacum,-80.91179,35.397831,24,9,2017
58,Ambystoma opacum,-78.400074,37.308495,4,9,2017
59,Ambystoma opacum,-78.783488,35.723946,22,3,2017
60,Ambystoma opacum,-88.919735,37.361854,26,8,2017
61,Ambystoma opacum,-88.918808,37.360045,26,8,2017
62,Ambystoma opacum,-88.838082,37.351549,15,4,2017
63,Ambystoma opacum,-80.797133,35.044522,1,2,2017
64,Ambystoma opacum,-78.727844,37.72568,12,8,2017
65,Ambystoma opacum,-77.391237,39.062042,8,8,2017
66,Ambystoma opacum,-83.076015,31.779229,14,4,2017
67,Ambystoma opacum,-75.933113,38.952575,14,5,2017
68,Ambystoma opacum,-83.635475,38.10155,19,2,2017
69,Ambystoma opacum,-83.905377,31.961827,1,3,2017
70,Ambystoma opacum,-77.104019,38.75093,5,7,2017
71,Ambystoma opacum,-78.923967,35.622472,11,2,2017
72,Ambystoma opacum,-82.704419,41.603089,26,5,2017
73,Ambystoma opacum,-72.13039,41.92563,9,7,2017
74,Ambystoma opacum,-72.605522,41.401242,24,6,2017
75,Ambystoma opacum,-74.12846,42.061321,11,6,2017
76,Ambystoma opacum,-78.996154,37.976955,10,6,2017
77,Ambystoma opacum,-74.327766,41.232714,4,6,2017
79,Ambystoma opacum,-77.106283,38.750587,3,6,2017
80,Ambystoma opacum,-82.648344,39.006038,9,4,2017
81,Ambystoma opacum,-76.48587,37.16772,20,5,2017
82,Ambystoma opacum,-89.192,36.2329,23,5,2017
83,Ambystoma opacum,-77.165458,38.642995,29,5,2017
84,Ambystoma opacum,-78.969197,35.89018,28,5,2017
85,Ambystoma opacum,-84.631965,39.293308,18,5,2017
86,Ambystoma opacum,-83.905345,31.961845,25,5,2017
87,Ambystoma opacum,-92.035684,34.867243,23,5,2017
88,Ambystoma opacum,-76.507917,37.189765,21,5,2017
89,Ambystoma opacum,-76.547867,37.178174,21,5,2017
90,Ambystoma opacum,-77.72122,36.805675,3,5,2017
91,Ambystoma opacum,-85.815725,34.966161,5,5,2017
92,Ambystoma opacum,-75.151543,41.14306,12,4,2017
93,Ambystoma opacum,-87.803916,40.225036,15,3,2017
94,Ambystoma opacum,-87.803916,40.225036,21,2,2017
95,Ambystoma opacum,-88.881454,37.252666,15,4,2017
96,Ambystoma opacum,-88.873063,37.335492,7,4,2017
97,Ambystoma opacum,-88.921173,37.416084,17,4,2017
98,Ambystoma opacum,-80.480003,35.689445,14,4,2017
99,Ambystoma opacum,-82.39235,39.201667,13,4,2017
100,Ambystoma opacum,-87.791409,40.266503,21,2,2017
101,Ambystoma opacum,-78.850207,36.088156,12,4,2017
102,Ambystoma opacum,-76.700897,38.778492,2,4,2017
103,Ambystoma opacum,-82.122522,39.498162,21,3,2017
104,Ambystoma opacum,-79.016433,35.886013,19,3,2017
105,Ambystoma opacum,-77.392463,39.060075,18,3,2017
106,Ambystoma opacum,-72.39167,41.864727,8,3,2017
107,Ambystoma opacum,-87.804084,40.224874,21,2,2017
108,Ambystoma opacum,-78.907515,35.718944,2,3,2017
109,Ambystoma opacum,-86.383889,32.476233,1,3,2017
110,Ambystoma opacum,-78.9962,37.977055,26,2,2017
111,Ambystoma opacum,-88.761291,37.230576,25,2,2017
112,Ambystoma opacum,-87.677794,40.203845,21,2,2017
