name,longitude,latitude
Heteromys australis,-78.96120833,0.290638889
Heteromys australis,-79.15838,0.47462
Heteromys australis,-79.15566,0.4666
Heteromys australis,-79.15682,0.47697
Heteromys australis,-79.15757,0.46931
Heteromys australis,-79.14708,0.45956
Heteromys australis,-78.92611111,0.081388889
Heteromys australis,-78.18653889,0.916791667
Heteromys australis,-78.22115833,0.879833333
Heteromys australis,-78.23763611,0.853841667
Heteromys australis,-78.233333,1
Heteromys australis,-78.716667,1.3667
Heteromys australis,-78.666667,1.0833
Heteromys australis,-78.783333,1.0667
Heteromys australis,-78.533333,0.9333
Heteromys australis,-78.85,0.9167
Heteromys australis,-78.55,0.9
Heteromys australis,-79.166667,0.8833
Heteromys australis,-78.8,0.8833
Heteromys australis,-78.516667,0.8667
Heteromys australis,-78.783333,0.3
Heteromys australis,-79.083333,0.2167
Heteromys australis,-78.15,1.6833
Heteromys australis,-78.083333,1.4833
Heteromys australis,-78.166667,1.25
Heteromys australis,-78.05,1.3
